Date,Open,High,Low,Close,Adj Close,Volume
07-01-2019,950,964,934.099976,944.049988,922.895264,5337211
08-01-2019,944.200012,950,938.549988,946.150024,924.948242,2039160
09-01-2019,949,955.349976,945.349976,952.950012,931.595947,2115974
10-01-2019,950.400024,969.400024,948.549988,966.700012,945.03772,2450895
11-01-2019,965.25,969.5,956.799988,959.299988,937.803528,1535995
14-01-2019,958,961.349976,949,957.5,936.043884,864306
15-01-2019,956,970.700012,955.099976,968.299988,946.601929,1452136
16-01-2019,965.299988,970.400024,959.299988,961.200012,939.66095,1118736
17-01-2019,961.349976,965,951.549988,961.549988,940.003052,1303576
18-01-2019,961.549988,965,954.049988,960.950012,939.416626,1168989
21-01-2019,960.099976,965.799988,957,962.75,941.176331,1035360
22-01-2019,962.150024,986.400024,958.700012,982.650024,960.630371,2797244
23-01-2019,987.400024,987.400024,957.599976,962.150024,940.589661,1574247
24-01-2019,960.200012,972.299988,955.900024,969.650024,947.921692,1246903
25-01-2019,972,984,969.150024,978,956.084534,1985833
28-01-2019,978,981.200012,955.200012,958.650024,937.168091,1499181
29-01-2019,955.200012,970,945,966.099976,944.451111,1411027
30-01-2019,966.099976,974.950012,960.049988,968.900024,947.188416,1468812
31-01-2019,968.200012,1000,966.5,995.799988,973.485596,2306391
01-02-2019,1003,1005,985.099976,991.549988,969.330811,3424938
04-02-2019,1025,1050,1009.049988,1025.75,1002.764526,9556052
05-02-2019,1026.949951,1074,1020,1066.699951,1042.796753,7144200
06-02-2019,1066,1072,1050.5,1059.050049,1035.318237,2449722
07-02-2019,1059.800049,1067.050049,1050,1056.800049,1033.11853,1293109
08-02-2019,1058.5,1076.849976,1047.599976,1053.25,1029.648438,2576054
11-02-2019,1059,1063.5,1045.199951,1056.400024,1032.727661,1057548
12-02-2019,1058,1073.949951,1050.099976,1066.25,1042.356934,3075801
14-02-2019,1063.949951,1063.949951,1030.5,1042.25,1018.894775,2182379
15-02-2019,1035,1052,1016.799988,1039,1015.717529,2566210
18-02-2019,1040.099976,1040.650024,1021.299988,1027.349976,1004.328674,1023065
19-02-2019,1030.449951,1049.800049,1025.300049,1028.800049,1005.746216,1551617
20-02-2019,1030,1044.400024,1027.5,1032.75,1009.607666,1506583
21-02-2019,1039.900024,1045,1031.25,1042.5,1019.139221,1220939
